Angle,M1 ticks,M2 ticks,M3 ticks,M4 ticks,Direction,M1 ticks,M2 ticks,M3 ticks,M4 ticks,Direction
27.923617,930.787231,930.787231,930.787231,930.787231,clockwise,0.000000,0.000000,1291.454224,1291.454224,counterclockwise
3.243297,108.109886,108.109886,108.109886,108.109886,clockwise,0.000000,0.000000,1515.550659,1515.550659,counterclockwise
4.763646,158.788193,158.788193,158.788193,158.788193,counterclockwise,0.000000,0.000000,1407.656372,1407.656372,clockwise
3.814078,127.135941,127.135941,127.135941,127.135941,counterclockwise,0.000000,0.000000,393.816284,393.816284,counterclockwise
1.336662,44.555386,44.555386,44.555386,44.555386,counterclockwise,0.000000,0.000000,743.083923,743.083923,clockwise
3.814078,127.135941,127.135941,127.135941,127.135941,counterclockwise,0.000000,0.000000,1791.278931,1791.278931,counterclockwise
10.388866,346.295563,346.295563,346.295563,346.295563,counterclockwise,0.000000,0.000000,1001.894287,1001.894287,counterclockwise
3.243293,108.109764,108.109764,108.109764,108.109764,clockwise,0.000000,0.000000,1858.774902,1858.774902,counterclockwise
36.869929,1228.997559,1228.997559,1228.997559,1228.997559,counterclockwise,0.000000,0.000000,2699.270264,2699.270264,counterclockwise
3.814078,127.135941,127.135941,127.135941,127.135941,clockwise,0.000000,0.000000,114.351913,114.351913,clockwise
2.862408,95.413589,95.413589,95.413589,95.413589,clockwise,0.000000,0.000000,1374.174561,1374.174561,counterclockwise
4.763646,158.788193,158.788193,158.788193,158.788193,clockwise,0.000000,0.000000,1066.586426,1066.586426,counterclockwise
33.023897,1100.796509,1100.796509,1100.796509,1100.796509,clockwise,0.000000,0.000000,2553.649658,2553.649658,counterclockwise
0.381968,12.732266,12.732266,12.732266,12.732266,clockwise,0.000000,0.000000,394.568390,394.568390,clockwise
4.573924,152.464157,152.464157,152.464157,152.464157,counterclockwise,0.000000,0.000000,1693.572144,1693.572144,counterclockwise
0.000000,0.000000,0.000000,0.000000,0.000000,-,0.000000,0.000000,1349.635132,1349.635132,counterclockwise
3.623895,120.796494,120.796494,120.796494,120.796494,counterclockwise,0.000000,0.000000,1339.332642,1339.332642,counterclockwise
5.710598,190.353271,190.353271,190.353271,190.353271,counterclockwise,0.000000,0.000000,395.842163,395.842163,counterclockwise
6.277302,209.243408,209.243408,209.243408,209.243408,clockwise,0.000000,0.000000,174.472443,174.472443,clockwise
0.000000,0.000000,0.000000,0.000000,0.000000,-,0.000000,0.000000,0.000000,0.000000,-
