Angle,M1 ticks,M2 ticks,M3 ticks,M4 ticks,Direction,M1 ticks,M2 ticks,M3 ticks,M4 ticks,Direction
27.923615,930.787170,930.787170,930.787170,930.787170,clockwise,0.000000,0.000000,6743.289062,6743.289062,counterclockwise
3.243297,108.109886,108.109886,108.109886,108.109886,clockwise,0.000000,0.000000,6118.712402,6118.712402,counterclockwise
4.763646,158.788208,158.788208,158.788208,158.788208,counterclockwise,0.000000,0.000000,3550.631104,3550.631104,counterclockwise
3.814078,127.135941,127.135941,127.135941,127.135941,counterclockwise,0.000000,0.000000,6508.990234,6508.990234,counterclockwise
1.336662,44.555386,44.555386,44.555386,44.555386,counterclockwise,0.000000,0.000000,2760.735596,2760.735596,counterclockwise
3.814078,127.135941,127.135941,127.135941,127.135941,counterclockwise,0.000000,0.000000,5413.362305,5413.362305,counterclockwise
10.388866,346.295563,346.295563,346.295563,346.295563,counterclockwise,0.000000,0.000000,5471.277344,5471.277344,counterclockwise
3.243293,108.109764,108.109764,108.109764,108.109764,clockwise,0.000000,0.000000,5776.714355,5776.714355,counterclockwise
36.869930,1228.997559,1228.997559,1228.997559,1228.997559,counterclockwise,0.000000,0.000000,2551.151367,2551.151367,counterclockwise
3.814078,127.135941,127.135941,127.135941,127.135941,clockwise,0.000000,0.000000,6907.399902,6907.399902,counterclockwise
2.862408,95.413589,95.413589,95.413589,95.413589,clockwise,0.000000,0.000000,6175.808594,6175.808594,counterclockwise
4.763646,158.788208,158.788208,158.788208,158.788208,clockwise,0.000000,0.000000,3677.837646,3677.837646,counterclockwise
33.023895,1100.796509,1100.796509,1100.796509,1100.796509,clockwise,0.000000,0.000000,3889.516602,3889.516602,counterclockwise
0.381968,12.732266,12.732266,12.732266,12.732266,clockwise,0.000000,0.000000,90.983055,90.983055,clockwise
4.573925,152.464157,152.464157,152.464157,152.464157,counterclockwise,0.000000,0.000000,4114.957520,4114.957520,counterclockwise
0.000000,0.000000,0.000000,0.000000,0.000000,-,0.000000,0.000000,3819.721924,3819.721924,counterclockwise
3.623895,120.796494,120.796494,120.796494,120.796494,counterclockwise,0.000000,0.000000,6024.964844,6024.964844,counterclockwise
5.710598,190.353271,190.353271,190.353271,190.353271,counterclockwise,0.000000,0.000000,919.584900,919.584900,counterclockwise
6.277302,209.243423,209.243423,209.243423,209.243423,clockwise,0.000000,0.000000,210.014954,210.014954,clockwise
0.000000,0.000000,0.000000,0.000000,0.000000,-,0.000000,0.000000,3819.721924,3819.721924,counterclockwise
